vehicle_engine_id,vehicle_model_id,engine,hp,engine_code
414,87,1.9 D Multijet,88,939 A1.000
415,88,1.9 CDTI,74,Z 19 DTL
416,89,1.9 CDTI,88,Z 19 DT
417,90,1.9 CDTI VAN,88,Z 19 DT
418,91,1.9 TiD,88,Z 19 DT
419,92,1.9 TiD,88,Z 19 DT
420,2,2.0 TDI 16V,103,CBEA
421,2,2.0 TDI 16V,103,CLJA
422,2,2.0 TDI 16V,103,CFFB
423,2,2.0 TDI 16V,103,BKD
424,2,2.0 TDI 16V,103,CBAB
425,2,2.0 TDI 16V quattro,103,CFFB
426,2,2.0 TDI 16V quattro,103,BKD
427,2,2.0 TDI 16V quattro,103,CBAB
428,2,2.0 TDI,100,AZV
429,2,2.0 TDI,100,CFFA
430,2,2.0 TDI,100,CBAA
431,3,2.0 TDI,100,CFFA
432,3,2.0 TDI,100,CBAA
433,3,2.0 TDI,103,CFFB
434,3,2.0 TDI,103,CBAB
435,5,2.0 TDI 16V quattro,103,CFFB
436,5,2.0 TDI 16V quattro,103,BKD
437,5,2.0 TDI 16V quattro,103,CBAB
438,5,2.0 TDI 16V,103,CBEA
439,5,2.0 TDI 16V,103,CLJA
440,5,2.0 TDI 16V,103,CFFB
441,5,2.0 TDI 16V,103,BKD
442,5,2.0 TDI 16V,103,CBAB
443,5,2.0 TDI,100,AZV
444,5,2.0 TDI,100,CFFA
445,5,2.0 TDI,100,CBAA
446,7,2.0 TDI quattro,103,CFFB
447,7,2.0 TDI,103,CLJA
448,7,2.0 TDI,103,CFFB
449,9,2.0 TDI 4Drive,103,CFFB
450,9,2.0 TDI,100,CFFA
451,9,2.0 TDI,103,CFFB
452,93,2.0 TDI 16V,103,CFHC
453,93,2.0 TDI 16V,103,BKD
454,94,2.0 TDI 16V,103,CFHC
455,94,2.0 TDI 16V,103,BKD
456,94,2.0 TDI 16V 4x4,103,CFHC
457,12,2.0 TDI 16V,103,CLCB
458,12,2.0 TDI 16V,103,CFHC
459,12,2.0 TDI 16V,103,BKD
460,95,2.0 TDI,81,CFHF
461,95,2.0 TDI,81,CLCA
462,95,2.0 TDI 16V,103,BKD
463,95,2.0 TDI 16V,103,CLCB
464,95,2.0 TDI 16V,103,CFHC
465,96,2.0 TDI,81,CFHF
466,96,2.0 TDI,81,CLCA
467,96,2.0 TDI 16V,103,BKD
468,96,2.0 TDI 16V,103,CLCB
469,96,2.0 TDI 16V,103,CFHC
470,96,2.0 TDI 16V 4x4,103,CFHC
471,96,2.0 TDI 16V 4x4,103,BKD
472,96,2.0 TDI 16V 4x4,103,CLCB
473,96,2.0 TDI 4x4,81,CFHF
474,97,2.0 TDI 16V 4x4,103,CFFB
475,97,2.0 TDI 16V,103,BKD
476,97,2.0 TDI 16V,103,CFFB
477,97,2.0 TDI 16V,103,CLJA
478,98,2.0 TDI 16V 4x4,103,CFFB
479,98,2.0 TDI 16V,103,BKD
480,98,2.0 TDI 16V,103,CFFB
481,98,2.0 TDI 16V,103,CLJA
482,99,2.0 TDI 4x4,103,CBDB
483,99,2.0 TDI 4x4,103,CLCB
484,99,2.0 TDI 4x4,103,CFHC
485,99,2.0 TDI 4x4,81,CUUA
486,99,2.0 TDI 4x4,81,DFSA
487,99,2.0 TDI 4x4,81,CFHF
488,99,2.0 TDI,103,CFHC
489,99,2.0 TDI,103,CLCB
490,99,2.0 TDI,81,CUUA
491,99,2.0 TDI,81,CFHA
492,99,2.0 TDI,81,DFSA
493,99,2.0 TDI,81,CLCA
494,100,2.0 TDI,103,CJAA
495,100,2.0 TDI,103,CFFB
496,101,2.0 TDI,103,CJAA
497,101,2.0 TDI,103,CFFB
498,102,2.0 TDI,103,CFHC
499,102,2.0 TDI,103,CLCB
500,102,2.0 TDI 4motion,103,CFHC
501,102,2.0 TDI,81,CLCA
502,102,2.0 TDI 4motion,81,CFHF
503,103,2.0 TDI 4motion,81,CFHF
504,103,2.0 TDI 4motion,81,CLCA
505,103,2.0 TDI 4motion,103,CFHC
506,103,2.0 TDI,103,CFHC
507,103,2.0 TDI,103,CLCB
508,104,2.0 TDI 16V,103,CLCB
509,104,2.0 TDI 16V,103,CFHC
510,104,2.0 TDI,62,CFHE
511,104,2.0 TDI 4motion,81,CFHF
512,104,2.0 TDI,81,CLCA
513,104,2.0 TDI 16V 4motion,103,CFHC
514,104,2.0 TDI 4motion,62,CFHE
515,105,2.0 TDI 4motion,81,CFHF
516,105,2.0 TDI 16V,103,CLCB
517,105,2.0 TDI 16V,103,CFHC
518,105,2.0 TDI,81,CLCA
519,105,2.0 TDI 16V 4motion,103,CFHC
520,106,2.0 TDI 4motion,81,CFHF
