product_item_id,product_sku_id,sku,vehicle_make_id,title,make_name,vehicle_model_id,model_name,vehicle_engine_id,engine,hp,engine_code
1036,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 110 CP - Recondiţionată,SEAT,11,ATECA,97,2.0 TDI,110,DTTA
1036,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 110 CP - Recondiţionată,SEAT,11,ATECA,96,2.0 TDI,110,DTTC
1036,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 110 CP - Recondiţionată,SEAT,11,ATECA,98,2.0 TDI,110,DXRB
1037,2,04L253010B,2,Turbina SEAT ATECA 2.0 TDI 81 CP - Recondiţionată,SEAT,11,ATECA,99,2.0 TDI,81,CRVA
1038,2,04L253010B,2,Turbina SEAT LEON 2.0 TDI 110 CP - Recondiţionată,SEAT,12,LEON,102,2.0 TDI,110,CKFC
1038,2,04L253010B,2,Turbina SEAT LEON 2.0 TDI 110 CP - Recondiţionată,SEAT,12,LEON,101,2.0 TDI,110,CRMB
1038,2,04L253010B,2,Turbina SEAT LEON 2.0 TDI 110 CP - Recondiţionată,SEAT,12,LEON,100,2.0 TDI,110,DFFA
1039,2,04L253010B,2,Turbina SEAT LEON 2.0 TDI 81 CP - Recondiţionată,SEAT,12,LEON,103,2.0 TDI,81,CRLD
1039,2,04L253010B,2,Turbina SEAT LEON 2.0 TDI 81 CP - Recondiţionată,SEAT,12,LEON,104,2.0 TDI,81,CRVA
1040,2,04L253010B,2,Turbina SEAT LEON SC 2.0 TDI 110 CP - Recondiţionată,SEAT,13,LEON SC,106,2.0 TDI,110,CKFC
1040,2,04L253010B,2,Turbina SEAT LEON SC 2.0 TDI 110 CP - Recondiţionată,SEAT,13,LEON SC,105,2.0 TDI,110,CRMB
1041,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 110 CP - Recondiţionată,SEAT,14,LEON ST,111,2.0 TDI,110,CKFC
1041,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 110 CP - Recondiţionată,SEAT,14,LEON ST,112,2.0 TDI,110,CRBC
1041,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 110 CP - Recondiţionată,SEAT,14,LEON ST,110,2.0 TDI,110,CRLB
1041,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 110 CP - Recondiţionată,SEAT,14,LEON ST,109,2.0 TDI,110,CRMB
1041,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 110 CP - Recondiţionată,SEAT,14,LEON ST,107,2.0 TDI,110,DFFA
1041,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 110 CP - Recondiţionată,SEAT,14,LEON ST,108,2.0 TDI,110,DFGA
1042,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 81 CP - Recondiţionată,SEAT,14,LEON ST,114,2.0 TDI,81,CRLD
1042,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 81 CP - Recondiţionată,SEAT,14,LEON ST,113,2.0 TDI,81,CRVA
