product_sku_id,sku,turbo_code_id,code
3,11657790326,62,728989-5019S
3,11657790326,63,728989-7
3,11657790326,64,728989-9
3,11657790326,65,728989-9019S
3,11657790326,66,7289890022
3,11657790326,67,7289895022S
3,11657790326,68,7289899022S
3,11657790326,78,7790326
3,11657790326,79,7790326G
3,11657790326,80,7790326H
3,11657790326,81,7790326K08
3,11657790326,82,7790328
3,11657790326,83,7790328D
3,11657790326,84,7790328J
3,11657790326,85,7794025
3,11657790326,86,7794026
3,11657790326,87,7794027
3,11657790326,88,7794028
3,11657790326,89,7794029
3,11657790326,90,7794030
3,11657790326,91,7794031
4,0375J3,142,0375J3
4,0375J3,143,0375J6
4,0375J3,144,0375J7
4,0375J3,145,0375J8
4,0375J3,140,11657804903
4,0375J3,146,1231096
4,0375J3,155,1254337
4,0375J3,147,1319614
4,0375J3,156,1340133
4,0375J3,148,1355027
4,0375J3,149,1441253
4,0375J3,157,1465162
4,0375J3,178,1479055
4,0375J3,158,1789074
4,0375J3,179,31259243
4,0375J3,150,36000722
4,0375J3,151,3M5Q6K682AA
4,0375J3,152,3M5Q6K682AB
4,0375J3,159,3M5Q6K682AC
4,0375J3,160,3M5Q6K682AE
4,0375J3,161,3M5Q6K682AG
4,0375J3,162,3M5Q6K682AJ
4,0375J3,92,740821*
4,0375J3,93,740821-0001
4,0375J3,94,740821-0002
4,0375J3,95,740821-1
4,0375J3,96,740821-2
4,0375J3,97,740821-5001*
4,0375J3,98,740821-5001S
4,0375J3,99,740821-5002*
4,0375J3,100,740821-5002S
4,0375J3,101,750030*
4,0375J3,102,750030-0001
4,0375J3,103,750030-0002
4,0375J3,104,750030-1
4,0375J3,105,750030-2
4,0375J3,106,753420*
4,0375J3,107,753420-0001*
4,0375J3,108,753420-0002
4,0375J3,109,753420-0003
4,0375J3,110,753420-0004
4,0375J3,111,753420-0005
4,0375J3,112,753420-0006
4,0375J3,113,753420-0007*
4,0375J3,114,753420-1*
4,0375J3,115,753420-2
4,0375J3,116,753420-3
4,0375J3,117,753420-4
4,0375J3,118,753420-5
4,0375J3,119,753420-5001S*
4,0375J3,120,753420-5002*
4,0375J3,121,753420-5002S
4,0375J3,122,753420-5003*
4,0375J3,123,753420-5003S
4,0375J3,124,753420-5004*
4,0375J3,125,753420-5004S
4,0375J3,126,753420-5005*
4,0375J3,127,753420-5005S
4,0375J3,128,753420-5006*
4,0375J3,129,753420-5006S
4,0375J3,130,753420-5007S*
4,0375J3,131,753420-500S
4,0375J3,132,753420-6
4,0375J3,133,753420-9005S*
4,0375J3,134,753420-9005W
4,0375J3,139,753420-9006
4,0375J3,135,753420-9006*
4,0375J3,136,753420-9006S
4,0375J3,137,753420-9006W
4,0375J3,138,7534209006s
4,0375J3,141,7804903
4,0375J3,180,8252088
4,0375J3,181,8603489
4,0375J3,153,9650764480
4,0375J3,170,9651839880
4,0375J3,171,9654128780
4,0375J3,172,9656125880
4,0375J3,173,9657248680
4,0375J3,174,9657531880
4,0375J3,175,9657571880
4,0375J3,176,9660641380
4,0375J3,154,9663199280
4,0375J3,163,Y60113700
4,0375J3,164,Y60113700A
4,0375J3,165,Y60113700B
4,0375J3,177,Y60113700C
4,0375J3,166,Y60113700D
4,0375J3,167,Y60113700E
4,0375J3,168,Y60113700F
4,0375J3,169,Y60113700G
5,55188334,234,55188334
5,55188334,235,55190871
5,55188334,236,55193105
5,55188334,237,55195787
5,55188334,238,55196765
